1.1.1.1	alcohol dehydrogenase	Homo sapiens	-	285565, 285567, 285574, 654370, 669630, 686331, 687976, 689316, 691867, 697802, 701322, 722013, 722073, 738034	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	ADHIndianapolis form 1 and 2 and 3	285577	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	alcohol dehydrogenase 2, 2 allelic forms	655197	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	anodic enzyme form	285573, 285576	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	chi-ADH	285576	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	class I enzyme, several isozymes	654727	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	class I isoenzymes: alpha,gamma2, gamma2gamma2, alpha,gamma1, alpha,beta1, beta1,gamma2, gamma1,gamma1, beta1,gamma1, beta1,beta1	285568	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	class II isoenzyme: pi-ADH	285569	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	class III isoenzyme	285566, 285571	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	class IV alcohol dehydrogenase	656058	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	class IV enzyme, sigma-ADH	285608	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isoenzyme alpha,alpha, beta1,beta1, gamma1,gamma1 and gamma2,gamma2	285572	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isoenzyme chi-ADH	285571	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isoenzyme pi	285578	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isoenzymes beta1,beta1, beta2,beta2 and beta3,beta3	285575	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isoenzymes: beta2beta2, beta2beta1, alphabeta2 and beta2gamma1	285570	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isozyme 1C*2 (gamma2gamma2)	655206	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	isozymes ADH1B1, ADH1B2, and ADH4	655479	
1.1.1.1	alcohol dehydrogenase	Homo sapiens	mue-alcolhol dehydrogenase	285651	
1.1.1.10	L-xylulose reductase	Homo sapiens	-	654438, 654968, 656049, 657322, 668392, 670839, 686877, 697218	
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	Homo sapiens	-	735600, 741114	
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	Homo sapiens	cf EC 1.1.1.62	741044	
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	Xanthomonas campestris pv. campestris	-	763418, 763477	
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	Xanthomonas campestris pv. campestris XC1	-	763418	
1.1.1.101	acylglycerone-phosphate reductase	Homo sapiens	-	285689	
1.1.1.102	3-dehydrosphinganine reductase	Homo sapiens	-	656256, 699413	
1.1.1.103	L-threonine 3-dehydrogenase	Homo sapiens	-	655131	
1.1.1.105	all-trans-retinol dehydrogenase (NAD+)	Homo sapiens	-	285727, 285728, 654713, 667537, 669445, 690842, 691705, 691736, 691750, 697796, 721724, 723076, 738036, 738610, 738670	
1.1.1.105	all-trans-retinol dehydrogenase (NAD+)	Homo sapiens	recombinant enzyme expressed in Sf9 cells	654431	
1.1.1.108	carnitine 3-dehydrogenase	Xanthomonas campestris	-	711514	
1.1.1.108	carnitine 3-dehydrogenase	Xanthomonas campestris pv. translucens	-	711514	
1.1.1.108	carnitine 3-dehydrogenase	Xanthomonas translucens	-	285742, 740222, 740987	
1.1.1.112	indanol dehydrogenase	Homo sapiens	-	285761	
1.1.1.133	dTDP-4-dehydrorhamnose reductase	Xanthomonas campestris	-	285844	
1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase	Homo sapiens	-	654167	
1.1.1.14	L-iditol 2-dehydrogenase	Homo sapiens	-	285875, 285877, 285892, 654090, 655289, 657360, 712376, 712908	
1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD+)	Homo sapiens	-	285912, 285914, 285915, 285916, 285919, 285920, 285922, 285923, 285927, 285931, 285932, 285933, 285934, 285935, 285937, 285938, 285939, 654158, 654348, 654361, 654374, 654380, 657209, 657210, 667147, 667558, 667924, 668160, 668162, 668172, 668173, 668359, 670734, 685947, 685958, 686593, 689069, 689129, 689843, 690004, 695481, 695883, 697090, 697102, 699476, 700197, 700302, 711448, 724691, 724920, 725664, 725814, 726080, 726267, 740148, 740159, 740536, 740709, 741014, 741035, 741244, 762674	
